channel_code,cyx_hash,m3u8_path
cyx_Telefuturo☆,cyx_Telefuturo☆,/live/cyx_Telefuturo☆.m3u8
cyx_22443479513272736478,cyx_22443479513272736478,/live/cyx_22443479513272736478.m3u8
cyx_792B94DB7717709CAA7AA4,cyx_792B94DB7717709CAA7AA4,/live/cyx_792B94DB7717709CAA7AA4.m3u8
cyx_8646545826126965854252006461,cyx_8646545826126965854252006461,/live/cyx_8646545826126965854252006461.m3u8
cyx_1621549981842122126825888848,cyx_1621549981842122126825888848,/live/cyx_1621549981842122126825888848.m3u8
cyx_437B35953862AE470_480p,cyx_437B35953862AE470_480p,/live/cyx_437B35953862AE470_480p.m3u8
cyx_8CDD138E450A6EC58,cyx_8CDD138E450A6EC58,/live/cyx_8CDD138E450A6EC58.m3u8
cyx_23CFB7F8A815AA98B3F71A62334,cyx_23CFB7F8A815AA98B3F71A62334,/live/cyx_23CFB7F8A815AA98B3F71A62334.m3u8
cyx_162E6EC3B59FD1E521F1D25B,cyx_162E6EC3B59FD1E521F1D25B,/live/cyx_162E6EC3B59FD1E521F1D25B.m3u8
cyx_44903791188008457747272,cyx_44903791188008457747272,/live/cyx_44903791188008457747272.m3u8
cyx_409E941493778B5FB7,cyx_409E941493778B5FB7,/live/cyx_409E941493778B5FB7.m3u8
cyx_5AF55C2A172D3786FD8CBF83,cyx_5AF55C2A172D3786FD8CBF83,/live/cyx_5AF55C2A172D3786FD8CBF83.m3u8
cyx_58320094002664236099950981,cyx_58320094002664236099950981,/live/cyx_58320094002664236099950981.m3u8
cyx_FoxSports1☆,cyx_FoxSports1☆,/live/cyx_FoxSports1☆.m3u8
cyx_TELECARIBE HD ☆,cyx_TELECARIBE HD ☆,/live/cyx_TELECARIBE HD ☆.m3u8
cyx_74503A9D4943E4EE7142,cyx_74503A9D4943E4EE7142,/live/cyx_74503A9D4943E4EE7142.m3u8
cyx_GOLDENEDGE☆,cyx_GOLDENEDGE☆,/live/cyx_GOLDENEDGE☆.m3u8
cyx_196887144373671,cyx_196887144373671,/live/cyx_196887144373671.m3u8
cyx_07B3E89551B626BA2450,cyx_07B3E89551B626BA2450,/live/cyx_07B3E89551B626BA2450.m3u8
cyx_8CDD138E450A6E_480p,cyx_8CDD138E450A6E_480p,/live/cyx_8CDD138E450A6E_480p.m3u8
cyx_0756318442778639067819638626,cyx_0756318442778639067819638626,/live/cyx_0756318442778639067819638626.m3u8
cyx_ESPN☆,cyx_ESPN☆,/live/cyx_ESPN☆.m3u8
