channel_code,m3u8_hash,source
cyx-GolTVHD,cyx-6BD1EDB648CBbd4eC2D2592C1036,HEAP
cyx_Telefuturoâ˜†,cyx_Telefuturoâ˜†,IDENTITY
cyx_22443479513272736478,cyx_22443479513272736478,IDENTITY
cyx_792B94DB7717709CAA7AA4,cyx_792B94DB7717709CAA7AA4,IDENTITY
cyx-MEGAHD,cyx-4C73048D477Eb9ba07F5BF09ADC4,HEAP
cyx-EiGourmet,cyx-0450E2894FE5947b7087414F9993,HEAP
cyx-RCNHD,cyx-2EF7E10E40C1ac19D6A9F3ED4CD2,HEAP
cyx_8646545826126965854252006461,cyx_8646545826126965854252006461,IDENTITY
cyx-DistritocomediaHD,cyx-FrJpxAEJ2WL4XxXbD9zrLsBZGFh9,HEAP
cyx-CityTV,cyx-5D8498C9411Ea4b9FC8EA2364DAE,HEAP
cyx_1621549981842122126825888848,cyx_1621549981842122126825888848,IDENTITY
cyx_437B35953862AE470_480p,cyx_437B35953862AE470_480p,IDENTITY
cyx_8CDD138E450A6EC58,cyx_8CDD138E450A6EC58,IDENTITY
cyx-Telepacifico,cyx-BF1FCE93423992b81B1166428815,HEAP
cyx_23CFB7F8A815AA98B3F71A62334,cyx_23CFB7F8A815AA98B3F71A62334,IDENTITY
cyx_162E6EC3B59FD1E521F1D25B,cyx_162E6EC3B59FD1E521F1D25B,IDENTITY
cyx_44903791188008457747272,cyx_44903791188008457747272,IDENTITY
cyx_409E941493778B5FB7,cyx_409E941493778B5FB7,IDENTITY
cyx_5AF55C2A172D3786FD8CBF83,cyx_5AF55C2A172D3786FD8CBF83,IDENTITY
cyx-HBOHD,cyx-F11D236E4378ba5dC26A13AF4103,HEAP
cyx_58320094002664236099950981,cyx_58320094002664236099950981,IDENTITY
cyx_FoxSports1â˜†,cyx_FoxSports1â˜†,IDENTITY
cyx_TELECARIBE HD â˜†,cyx_TELECARIBE HD â˜†,IDENTITY
cyx_74503A9D4943E4EE7142,cyx_74503A9D4943E4EE7142,IDENTITY
cyx_GOLDENEDGEâ˜†,cyx_GOLDENEDGEâ˜†,IDENTITY
cyx_196887144373671,cyx_196887144373671,IDENTITY
cyx-GoldenHD,cyx-35C119474852b75b7F3B048F537B,HEAP
cyx-AMC,cyx-D08E1E3D47688ed3A7F115FEB16A,HEAP
cyx_07B3E89551B626BA2450,cyx_07B3E89551B626BA2450,IDENTITY
cyx_8CDD138E450A6E_480p,cyx_8CDD138E450A6E_480p,IDENTITY
cyx_0756318442778639067819638626,cyx_0756318442778639067819638626,IDENTITY
cyx_ESPNâ˜†,cyx_ESPNâ˜†,IDENTITY
cyx_7A1A0524509A17E70D29A64,cyx_7A1A0524509A17E70D29A64,IDENTITY
cyx_ATVPlusHDâ˜†,cyx_ATVPlusHDâ˜†,IDENTITY
cyx_CrÃ³nicaTVâ˜†,cyx_CrÃ³nicaTVâ˜†,IDENTITY
cyx_EWTNâ˜†,cyx_EWTNâ˜†,IDENTITY
cyx_60ACF43C5EDDF84024A83EDF5,cyx_60ACF43C5EDDF84024A83EDF5,IDENTITY
cyx-FCB2C1F34018a709EE178AF0E2ED,cyx-FCB2C1F34018a709EE178AF0E2ED,IDENTITY
cyx_42237528931693937614_480p,cyx_42237528931693937614_480p,IDENTITY
cyx_MTVHitsâ˜†,cyx_MTVHitsâ˜†,IDENTITY
cyx_8583991586802883545_480p,cyx_8583991586802883545_480p,IDENTITY
cyx_409E941493778B5_480p,cyx_409E941493778B5_480p,IDENTITY
cyx_FB7CD5F7E4EE44D9D5B25887,cyx_FB7CD5F7E4EE44D9D5B25887,IDENTITY
cyx_921A95AEA6BEF5DB23_480p,cyx_921A95AEA6BEF5DB23_480p,IDENTITY
cyx_4951487402385684171283290352,cyx_4951487402385684171283290352,IDENTITY
cyx-DisneyXD,cyx-3BDE555C42DE8cd499880F0D823B,HEAP
cyx_2187631362225884386171535502,cyx_2187631362225884386171535502,IDENTITY
cyx_LNPlus,cyx_LNPlus,IDENTITY
cyx-Panamericana,cyx_fL3eb28RZr5OpaE,HEAP
cyx_8187936040837164922879389433,cyx_8187936040837164922879389433,IDENTITY
cyx_4843843183178569082069248819,cyx_4843843183178569082069248819,IDENTITY
cyx_36383591975441128767882_480p,cyx_36383591975441128767882_480p,IDENTITY
cyx_87369643941470677307,cyx_87369643941470677307,IDENTITY
cyx_2991439621291462262189_480p,cyx_2991439621291462262189_480p,IDENTITY
cyx_TELECAFE HD â˜†,cyx_TELECAFE HD â˜†,IDENTITY
